"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"District of Columbia"	"11"	"2019"	"2019"	141	705749	20.0	18.3
	"District of Columbia"	"11"	"2020"	"2020"	167	712816	23.4	21.9
	"District of Columbia"	"11"	"2021 "	"2021"	185	670050	27.6	24.4
"Total"	"District of Columbia"	"11"			618	2791070	22.1	20.3
	"Florida"	"12"	"2018"	"2018"	2902	21299325	13.6	12.9
	"Florida"	"12"	"2019"	"2019"	2872	21477737	13.4	12.7
	"Florida"	"12"	"2020"	"2020"	3041	21733312	14.0	13.7
	"Florida"	"12"	"2021 "	"2021"	3142	21781128	14.4	14.1
"Total"	"Florida"	"12"			11957	86291502	13.9	13.3
	"Georgia"	"13"	"2018"	"2018"	1680	10519475	16.0	15.7
	"Georgia"	"13"	"2019"	"2019"	1695	10617423	16.0	15.8
	"Georgia"	"13"	"2020"	"2020"	1897	10710017	17.7	17.7
	"Georgia"	"13"	"2021 "	"2021"	2200	10799566	20.4	20.3
"Total"	"Georgia"	"13"			7472	42646481	17.5	17.4
	"Hawaii"	"15"	"2018"	"2018"	59	1420491	4.2	4.0
	"Hawaii"	"15"	"2019"	"2019"	62	1415872	4.4	4.4
	"Hawaii"	"15"	"2020"	"2020"	50	1407006	3.6	3.4
	"Hawaii"	"15"	"2021 "	"2021"	71	1441553	4.9	4.8
"Total"	"Hawaii"	"15"			242	5684922	4.3	4.2
	"Idaho"	"16"	"2018"	"2018"	294	1754208	16.8	16.6
	"Idaho"	"16"	"2019"	"2019"	255	1787065	14.3	14.2
	"Idaho"	"16"	"2020"	"2020"	321	1826913	17.6	17.6
	"Idaho"	"16"	"2021 "	"2021"	309	1900923	16.3	16.3
"Total"	"Idaho"	"16"			1179	7269109	16.2	16.2
	"Illinois"	"17"	"2018"	"2018"	1382	12741080	10.8	10.9
	"Illinois"	"17"	"2019"	"2019"	1367	12671821	10.8	10.8
	"Illinois"	"17"	"2020"	"2020"	1745	12587530	13.9	14.1
	"Illinois"	"17"	"2021 "	"2021"	1995	12671469	15.7	16.1
"Total"	"Illinois"	"17"			6489	50671900	12.8	12.9
	"Indiana"	"18"	"2018"	"2018"	977	6691878	14.6	14.7
	"Indiana"	"18"	"2019"	"2019"	958	6732219	14.2	14.1
	"Indiana"	"18"	"2020"	"2020"	1159	6754953	17.2	17.3
	"Indiana"	"18"	"2021 "	"2021"	1251	6805985	18.4	18.4
"Total"	"Indiana"	"18"			4345	26985035	16.1	16.1
	"Iowa"	"19"	"2018"	"2018"	282	3156145	8.9	8.7
	"Iowa"	"19"	"2019"	"2019"	294	3155070	9.3	9.1
	"Iowa"	"19"	"2020"	"2020"	351	3163561	11.1	11.2
	"Iowa"	"19"	"2021 "	"2021"	364	3193079	11.4	11.2
"Total"	"Iowa"	"19"			1291	12667855	10.2	10.0
	"Kansas"	"20"	"2018"	"2018"	424	2911505	14.6	14.8
	"Kansas"	"20"	"2019"	"2019"	403	2913314	13.8	13.7
	"Kansas"	"20"	"2020"	"2020"	494	2913805	17.0	16.9
	"Kansas"	"20"	"2021 "	"2021"	503	2934582	17.1	17.3
"Total"	"Kansas"	"20"			1824	11673206	15.6	15.7
	"Kentucky"	"21"	"2018"	"2018"	762	4468402	17.1	16.9
	"Kentucky"	"21"	"2019"	"2019"	682	4467673	15.3	14.9
	"Kentucky"	"21"	"2020"	"2020"	902	4477251	20.1	20.1
	"Kentucky"	"21"	"2021 "	"2021"	947	4509394	21.0	21.1
"Total"	"Kentucky"	"21"			3293	17922720	18.4	18.3
	"Louisiana"	"22"	"2018"	"2018"	991	4659978	21.3	21.4
	"Louisiana"	"22"	"2019"	"2019"	1013	4648794	21.8	22.1
	"Louisiana"	"22"	"2020"	"2020"	1183	4645318	25.5	26.3
	"Louisiana"	"22"	"2021 "	"2021"	1314	4624047	28.4	29.1
"Total"	"Louisiana"	"22"			4501	18578137	24.2	24.7
	"Maine"	"23"	"2018"	"2018"	159	1338404	11.9	10.3
	"Maine"	"23"	"2019"	"2019"	163	1344212	12.1	11.5
	"Maine"	"23"	"2020"	"2020"	153	1350141	11.3	10.4
	"Maine"	"23"	"2021 "	"2021"	178	1372247	13.0	12.6
"Total"	"Maine"	"23"			653	5405004	12.1	11.2
	"Maryland"	"24"	"2018"	"2018"	707	6042718	11.7	11.7
	"Maryland"	"24"	"2019"	"2019"	757	6045680	12.5	12.6
	"Maryland"	"24"	"2020"	"2020"	803	6055802	13.3	13.5
	"Maryland"	"24"	"2021 "	"2021"	915	6165129	14.8	15.2
"Total"	"Maryland"	"24"			3182	24309329	13.1	13.3
	"Massachusetts"	"25"	"2018"	"2018"	258	6902149	3.7	3.5
	"Massachusetts"	"25"	"2019"	"2019"	247	6892503	3.6	3.4
	"Massachusetts"	"25"	"2020"	"2020"	268	6893574	3.9	3.7
	"Massachusetts"	"25"	"2021 "	"2021"	247	6984723	3.5	3.4
"Total"	"Massachusetts"	"25"			1020	27672949	3.7	3.5
	"Michigan"	"26"	"2018"	"2018"	1310	9995915	13.1	12.9
	"Michigan"	"26"	"2019"	"2019"	1220	9986857	12.2	12.1
	"Michigan"	"26"	"2020"	"2020"	1454	9966555	14.6	14.6
	"Michigan"	"26"	"2021 "	"2021"	1544	10050811	15.4	15.4
"Total"	"Michigan"	"26"			5528	40000138	13.8	13.7
	"Minnesota"	"27"	"2018"	"2018"	437	5611179	7.8	7.8
	"Minnesota"	"27"	"2019"	"2019"	465	5639632	8.2	8.1
	"Minnesota"	"27"	"2020"	"2020"	513	5657342	9.1	8.9
	"Minnesota"	"27"	"2021 "	"2021"	573	5707390	10.0	10.0
"Total"	"Minnesota"	"27"			1988	22615543	8.8	8.7
	"Mississippi"	"28"	"2018"	"2018"	681	2986530	22.8	22.9
	"Mississippi"	"28"	"2019"	"2019"	710	2976149	23.9	24.2
	"Mississippi"	"28"	"2020"	"2020"	818	2966786	27.6	28.6
	"Mississippi"	"28"	"2021 "	"2021"	962	2949965	32.6	33.9
"Total"	"Mississippi"	"28"			3171	11879430	26.7	27.4
	"Missouri"	"29"	"2018"	"2018"	1311	6126452	21.4	21.5
	"Missouri"	"29"	"2019"	"2019"	1252	6137428	20.4	20.6
	"Missouri"	"29"	"2020"	"2020"	1426	6151548	23.2	23.9
	"Missouri"	"29"	"2021 "	"2021"	1414	6168187	22.9	23.2
"Total"	"Missouri"	"29"			5403	24583615	22.0	22.3
	"Montana"	"30"	"2018"	"2018"	186	1062305	17.5	17.3
	"Montana"	"30"	"2019"	"2019"	209	1068778	19.6	19.0
	"Montana"	"30"	"2020"	"2020"	238	1080577	22.0	20.9
	"Montana"	"30"	"2021 "	"2021"	280	1104271	25.4	25.1
"Total"	"Montana"	"30"			913	4315931	21.2	20.6
	"Nebraska"	"31"	"2018"	"2018"	183	1929268	9.5	9.0
	"Nebraska"	"31"	"2019"	"2019"	205	1934408	10.6	10.4
	"Nebraska"	"31"	"2020"	"2020"	197	1937552	10.2	10.1
	"Nebraska"	"31"	"2021 "	"2021"	200	1963692	10.2	10.3
"Total"	"Nebraska"	"31"			785	7764920	10.1	10.0
	"Nevada"	"32"	"2018"	"2018"	550	3034392	18.1	17.9
	"Nevada"	"32"	"2019"	"2019"	490	3080156	15.9	15.3
	"Nevada"	"32"	"2020"	"2020"	547	3138259	17.4	17.0
	"Nevada"	"32"	"2021 "	"2021"	633	3143991	20.1	19.8
"Total"	"Nevada"	"32"			2220	12396798	17.9	17.5
	"New Hampshire"	"33"	"2018"	"2018"	155	1356458	11.4	10.8
	"New Hampshire"	"33"	"2019"	"2019"	156	1359711	11.5	10.7
	"New Hampshire"	"33"	"2020"	"2020"	128	1366275	9.4	8.9
	"New Hampshire"	"33"	"2021 "	"2021"	123	1388992	8.9	8.3
"Total"	"New Hampshire"	"33"			562	5471436	10.3	9.7
	"New Jersey"	"34"	"2018"	"2018"	420	8908520	4.7	4.8
	"New Jersey"	"34"	"2019"	"2019"	368	8882190	4.1	4.1
	"New Jersey"	"34"	"2020"	"2020"	443	8882371	5.0	5.0
	"New Jersey"	"34"	"2021 "	"2021"	475	9267130	5.1	5.2
"Total"	"New Jersey"	"34"			1706	35940211	4.7	4.8
	"New Mexico"	"35"	"2018"	"2018"	438	2095428	20.9	20.7
	"New Mexico"	"35"	"2019"	"2019"	471	2096829	22.5	22.3
	"New Mexico"	"35"	"2020"	"2020"	479	2106319	22.7	22.7
	"New Mexico"	"35"	"2021 "	"2021"	578	2115877	27.3	27.8
"Total"	"New Mexico"	"35"			1966	8414453	23.4	23.4
	"New York"	"36"	"2018"	"2018"	821	19542209	4.2	4.1
	"New York"	"36"	"2019"	"2019"	804	19453561	4.1	3.9
	"New York"	"36"	"2020"	"2020"	1052	19336776	5.4	5.3
	"New York"	"36"	"2021 "	"2021"	1078	19835913	5.4	5.4
"Total"	"New York"	"36"			3755	78168459	4.8	4.7
	"North Carolina"	"37"	"2018"	"2018"	1416	10383620	13.6	13.3
	"North Carolina"	"37"	"2019"	"2019"	1397	10488084	13.3	13.1
	"North Carolina"	"37"	"2020"	"2020"	1699	10600823	16.0	16.0
	"North Carolina"	"37"	"2021 "	"2021"	1839	10551162	17.4	17.3
"Total"	"North Carolina"	"37"			6351	42023689	15.1	14.9
	"North Dakota"	"38"	"2018"	"2018"	89	760077	11.7	11.5
	"North Dakota"	"38"	"2019"	"2019"	93	762062	12.2	12.4
	"North Dakota"	"38"	"2020"	"2020"	100	765309	13.1	13.8
	"North Dakota"	"38"	"2021 "	"2021"	128	774948	16.5	16.8
"Total"	"North Dakota"	"38"			410	3062396	13.4	13.6
	"Ohio"	"39"	"2018"	"2018"	1555	11689442	13.3	13.1
	"Ohio"	"39"	"2019"	"2019"	1578	11689100	13.5	13.3
	"Ohio"	"39"	"2020"	"2020"	1764	11693217	15.1	15.2
	"Ohio"	"39"	"2021 "	"2021"	1911	11780017	16.2	16.5
"Total"	"Ohio"	"39"			6808	46851776	14.5	14.5
	"Oklahoma"	"40"	"2018"	"2018"	665	3943079	16.9	16.8
	"Oklahoma"	"40"	"2019"	"2019"	737	3956971	18.6	18.6
	"Oklahoma"	"40"	"2020"	"2020"	826	3980783	20.7	20.7
	"Oklahoma"	"40"	"2021 "	"2021"	836	3986639	21.0	21.2
"Total"	"Oklahoma"	"40"			3064	15867472	19.3	19.3
	"Oregon"	"41"	"2018"	"2018"	519	4190713	12.4	11.7
	"Oregon"	"41"	"2019"	"2019"	566	4217737	13.4	12.6
	"Oregon"	"41"	"2020"	"2020"	592	4241507	14.0	13.0
	"Oregon"	"41"	"2021 "	"2021"	670	4246155	15.8	14.9
"Total"	"Oregon"	"41"			2347	16896112	13.9	13.0
	"Pennsylvania"	"42"	"2018"	"2018"	1654	12807060	12.9	12.5
	"Pennsylvania"	"42"	"2019"	"2019"	1541	12801989	12.0	11.7
	"Pennsylvania"	"42"	"2020"	"2020"	1752	12783254	13.7	13.6
	"Pennsylvania"	"42"	"2021 "	"2021"	1905	12964056	14.7	14.8
"Total"	"Pennsylvania"	"42"			6852	51356359	13.3	13.1
	"Rhode Island"	"44"	"2018"	"2018"	37	1057315	3.5	3.3
	"Rhode Island"	"44"	"2019"	"2019"	48	1059361	4.5	4.6
	"Rhode Island"	"44"	"2020"	"2020"	54	1057125	5.1	5.1
	"Rhode Island"	"44"	"2021 "	"2021"	64	1095610	5.8	5.6
"Total"	"Rhode Island"	"44"			203	4269411	4.8	4.7
	"South Carolina"	"45"	"2018"	"2018"	895	5084127	17.6	17.6
	"South Carolina"	"45"	"2019"	"2019"	1012	5148714	19.7	19.9
	"South Carolina"	"45"	"2020"	"2020"	1131	5218040	21.7	22.0
	"South Carolina"	"45"	"2021 "	"2021"	1136	5190705	21.9	22.4
"Total"	"South Carolina"	"45"			4174	20641586	20.2	20.5
	"South Dakota"	"46"	"2018"	"2018"	117	882235	13.3	13.6
	"South Dakota"	"46"	"2019"	"2019"	113	884659	12.8	13.1
	"South Dakota"	"46"	"2020"	"2020"	120	892717	13.4	13.6
	"South Dakota"	"46"	"2021 "	"2021"	128	895376	14.3	14.3
"Total"	"South Dakota"	"46"			478	3554987	13.4	13.6
	"Tennessee"	"47"	"2018"	"2018"	1228	6770010	18.1	17.8
	"Tennessee"	"47"	"2019"	"2019"	1270	6829174	18.6	18.4
	"Tennessee"	"47"	"2020"	"2020"	1473	6886834	21.4	21.3
	"Tennessee"	"47"	"2021 "	"2021"	1569	6975218	22.5	22.8
"Total"	"Tennessee"	"47"			5540	27461236	20.2	20.1
	"Texas"	"48"	"2018"	"2018"	3522	28701845	12.3	12.2
	"Texas"	"48"	"2019"	"2019"	3683	28995881	12.7	12.7
	"Texas"	"48"	"2020"	"2020"	4164	29360759	14.2	14.2
	"Texas"	"48"	"2021 "	"2021"	4613	29527941	15.6	15.6
"Total"	"Texas"	"48"			15982	116586426	13.7	13.7
	"Utah"	"49"	"2018"	"2018"	397	3161105	12.6	13.2
	"Utah"	"49"	"2019"	"2019"	394	3205958	12.3	12.8
	"Utah"	"49"	"2020"	"2020"	429	3249879	13.2	13.6
	"Utah"	"49"	"2021 "	"2021"	450	3337975	13.5	13.9
"Total"	"Utah"	"49"			1670	12954917	12.9	13.4
	"Vermont"	"50"	"2018"	"2018"	82	626299	13.1	12.8
	"Vermont"	"50"	"2019"	"2019"	67	623989	10.7	9.3
	"Vermont"	"50"	"2020"	"2020"	76	623347	12.2	11.6
	"Vermont"	"50"	"2021 "	"2021"	83	645570	12.9	11.9
"Total"	"Vermont"	"50"			308	2519205	12.2	11.4
	"Virginia"	"51"	"2018"	"2018"	1035	8517685	12.2	11.8
	"Virginia"	"51"	"2019"	"2019"	1025	8535519	12.0	11.7
	"Virginia"	"51"	"2020"	"2020"	1174	8590563	13.7	13.4
	"Virginia"	"51"	"2021 "	"2021"	1248	8642274	14.4	14.3
"Total"	"Virginia"	"51"			4482	34286041	13.1	12.8
	"Washington"	"53"	"2018"	"2018"	809	7535591	10.7	10.4
	"Washington"	"53"	"2019"	"2019"	842	7614893	11.1	10.7
	"Washington"	"53"	"2020"	"2020"	864	7693612	11.2	10.9
	"Washington"	"53"	"2021 "	"2021"	896	7738692	11.6	11.2
"Total"	"Washington"	"53"			3411	30582788	11.2	10.8
	"West Virginia"	"54"	"2018"	"2018"	343	1805832	19.0	18.2
	"West Virginia"	"54"	"2019"	"2019"	300	1792147	16.7	16.6
	"West Virginia"	"54"	"2020"	"2020"	325	1784787	18.2	18.1
	"West Virginia"	"54"	"2021 "	"2021"	319	1782959	17.9	17.3
"Total"	"West Virginia"	"54"			1287	7165725	18.0	17.6
	"Wisconsin"	"55"	"2018"	"2018"	598	5813568	10.3	10.1
	"Wisconsin"	"55"	"2019"	"2019"	604	5822434	10.4	10.0
	"Wisconsin"	"55"	"2020"	"2020"	717	5832655	12.3	12.2
	"Wisconsin"	"55"	"2021 "	"2021"	793	5895908	13.5	13.5
"Total"	"Wisconsin"	"55"			2712	23364565	11.6	11.5
	"Wyoming"	"56"	"2018"	"2018"	124	577737	21.5	21.5
	"Wyoming"	"56"	"2019"	"2019"	133	578759	23.0	22.3
	"Wyoming"	"56"	"2020"	"2020"	154	582328	26.4	25.9
	"Wyoming"	"56"	"2021 "	"2021"	155	578803	26.8	26.1
"Total"	"Wyoming"	"56"			566	2317627	24.4	24.0
"Total"					173499	1316784825	13.2	13.0
"---"
"Dataset: Underlying Cause of Death, 2018-2021, Single Race"
"Query Parameters:"
"ICD-10 Codes: U01.4 (Terrorism involving firearms); W32 (Handgun discharge); W33 (Rifle, shotgun and larger firearm discharge);"
"W34 (Discharge from other and unspecified firearms); X72 (Intentional self-harm by handgun discharge); X73 (Intentional"
"self-harm by rifle, shotgun and larger firearm discharge); X74 (Intentional self-harm by other and unspecified firearm"
"discharge); X93 (Assault by handgun discharge); X94 (Assault by rifle, shotgun and larger firearm discharge); X95 (Assault by"
"other and unspecified firearm discharge); Y22 (Handgun discharge, undetermined intent); Y23 (Rifle, shotgun and larger firearm"
"discharge, undetermined intent); Y24 (Other and unspecified firearm discharge, undetermined intent); Y35.0 (Legal intervention"
"involving firearm discharge)"
"Group By: State; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Jul 21, 2023 9:46:55 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Jul 21, 2023 9:46:55 PM"
"---"
Caveats:
"1. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#2000 Standard Population."
"2. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age-Adjusted Rates."
"3. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"4. The population figures for year 2021 are single-race estimates of the July 1 resident population, from the Vintage 2021"
"postcensal series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates"
"of the July 1 resident population, from the Vintage 2020 postcensal series released by the Census Bureau on July 27, 2021. The"
"population figures for year 2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal"
"series released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the"
"July 1 resident population, from the Vintage 2018 postcensal series released by the Census Bureau on June 20, 2019."
"5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age"
"Group."
"6. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"7. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#ICD-10 Changes."
