"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alaska"	"02"	"2009"	"2009"	104	698895	14.9	14.9
	"Alaska"	"02"	"2010"	"2010"	144	710231	20.3	20.4
	"Alaska"	"02"	"2011"	"2011"	126	722718	17.4	17.5
	"Alaska"	"02"	"2012"	"2012"	132	731449	18.0	17.8
	"Alaska"	"02"	"2013"	"2013"	144	735132	19.6	19.8
	"Alaska"	"02"	"2014"	"2014"	145	736732	19.7	19.2
	"Alaska"	"02"	"2015"	"2015"	177	738432	24.0	23.4
	"Alaska"	"02"	"2016"	"2016"	177	741894	23.9	23.3
	"Alaska"	"02"	"2017"	"2017"	180	739795	24.3	24.5
	"Alaska"	"02"	"2018"	"2018"	155	737438	21.0	21.0
	"Alaska"	"02"	"2019"	"2019"	179	731545	24.5	24.4
	"Alaska"	"02"	"2020 "	"2020"	175	731158	23.9	23.5
"Total"	"Alaska"	"02"			2990	15300884	19.5	19.6
	"Arizona"	"04"	"1999"	"1999"	822	5023823	16.4	16.3
	"Arizona"	"04"	"2000"	"2000"	796	5130632	15.5	15.6
	"Arizona"	"04"	"2001"	"2001"	842	5273477	16.0	16.0
	"Arizona"	"04"	"2002"	"2002"	968	5396255	17.9	18.0
	"Arizona"	"04"	"2003"	"2003"	849	5510364	15.4	15.4
	"Arizona"	"04"	"2004"	"2004"	897	5652404	15.9	15.9
	"Arizona"	"04"	"2005"	"2005"	934	5839077	16.0	16.1
	"Arizona"	"04"	"2006"	"2006"	982	6029141	16.3	16.3
	"Arizona"	"04"	"2007"	"2007"	951	6167681	15.4	15.4
	"Arizona"	"04"	"2008"	"2008"	907	6280362	14.4	14.4
	"Arizona"	"04"	"2009"	"2009"	856	6343154	13.5	13.5
	"Arizona"	"04"	"2010"	"2010"	931	6392017	14.6	14.6
	"Arizona"	"04"	"2011"	"2011"	964	6482505	14.9	14.7
	"Arizona"	"04"	"2012"	"2012"	946	6553255	14.4	14.1
	"Arizona"	"04"	"2013"	"2013"	941	6626624	14.2	14.1
	"Arizona"	"04"	"2014"	"2014"	927	6731484	13.8	13.5
	"Arizona"	"04"	"2015"	"2015"	970	6828065	14.2	13.8
	"Arizona"	"04"	"2016"	"2016"	1094	6931071	15.8	15.2
	"Arizona"	"04"	"2017"	"2017"	1134	7016270	16.2	15.8
	"Arizona"	"04"	"2018"	"2018"	1147	7171646	16.0	15.3
	"Arizona"	"04"	"2019"	"2019"	1136	7278717	15.6	15.1
	"Arizona"	"04"	"2020 "	"2020"	1265	7421401	17.0	16.7
"Total"	"Arizona"	"04"			21259	138079425	15.4	15.3
	"Arkansas"	"05"	"1999"	"1999"	388	2651860	14.6	14.6
	"Arkansas"	"05"	"2000"	"2000"	416	2673400	15.6	15.4
	"Arkansas"	"05"	"2001"	"2001"	412	2691571	15.3	15.3
	"Arkansas"	"05"	"2002"	"2002"	441	2705927	16.3	16.3
	"Arkansas"	"05"	"2003"	"2003"	413	2724816	15.2	15.1
	"Arkansas"	"05"	"2004"	"2004"	406	2749686	14.8	14.7
	"Arkansas"	"05"	"2005"	"2005"	439	2781097	15.8	15.7
	"Arkansas"	"05"	"2006"	"2006"	426	2821761	15.1	15.1
	"Arkansas"	"05"	"2007"	"2007"	426	2848650	15.0	15.1
	"Arkansas"	"05"	"2008"	"2008"	444	2874554	15.4	15.5
	"Arkansas"	"05"	"2009"	"2009"	465	2896843	16.1	16.2
	"Arkansas"	"05"	"2010"	"2010"	419	2915918	14.4	14.4
	"Arkansas"	"05"	"2011"	"2011"	462	2937979	15.7	16.1
	"Arkansas"	"05"	"2012"	"2012"	490	2949131	16.6	16.6
	"Arkansas"	"05"	"2013"	"2013"	501	2959373	16.9	16.8
	"Arkansas"	"05"	"2014"	"2014"	496	2966369	16.7	16.6
	"Arkansas"	"05"	"2015"	"2015"	520	2978204	17.5	16.9
	"Arkansas"	"05"	"2016"	"2016"	541	2988248	18.1	17.8
	"Arkansas"	"05"	"2017"	"2017"	613	3004279	20.4	20.3
	"Arkansas"	"05"	"2018"	"2018"	573	3013825	19.0	18.9
	"Arkansas"	"05"	"2019"	"2019"	580	3017804	19.2	19.3
	"Arkansas"	"05"	"2020 "	"2020"	673	3030522	22.2	22.6
"Total"	"Arkansas"	"05"			10544	63181817	16.7	16.7
	"California"	"06"	"1999"	"1999"	3054	33499204	9.1	9.3
	"California"	"06"	"2000"	"2000"	3108	33871648	9.2	9.3
	"California"	"06"	"2001"	"2001"	3200	34479458	9.3	9.4
	"California"	"06"	"2002"	"2002"	3410	34871843	9.8	9.8
	"California"	"06"	"2003"	"2003"	3468	35253159	9.8	9.8
	"California"	"06"	"2004"	"2004"	3316	35574576	9.3	9.3
	"California"	"06"	"2005"	"2005"	3453	35827943	9.6	9.5
	"California"	"06"	"2006"	"2006"	3363	36021202	9.3	9.2
	"California"	"06"	"2007"	"2007"	3268	36250311	9.0	8.9
	"California"	"06"	"2008"	"2008"	3171	36604337	8.7	8.5
	"California"	"06"	"2009"	"2009"	3094	36961229	8.4	8.2
	"California"	"06"	"2010"	"2010"	2935	37253956	7.9	7.7
	"California"	"06"	"2011"	"2011"	3004	37691912	8.0	7.8
	"California"	"06"	"2012"	"2012"	3068	38041430	8.1	7.9
	"California"	"06"	"2013"	"2013"	3026	38332521	7.9	7.7
	"California"	"06"	"2014"	"2014"	2942	38802500	7.6	7.4
	"California"	"06"	"2015"	"2015"	3095	39144818	7.9	7.7
	"California"	"06"	"2016"	"2016"	3184	39250017	8.1	7.9
	"California"	"06"	"2017"	"2017"	3184	39536653	8.1	7.9
	"California"	"06"	"2018"	"2018"	3040	39557045	7.7	7.5
	"California"	"06"	"2019"	"2019"	2945	39512223	7.5	7.2
	"California"	"06"	"2020 "	"2020"	3449	39368078	8.8	8.5
"Total"	"California"	"06"			69777	815706063	8.6	8.4
	"Colorado"	"08"	"1999"	"1999"	452	4226018	10.7	10.8
	"Colorado"	"08"	"2000"	"2000"	443	4301261	10.3	10.3
	"Colorado"	"08"	"2001"	"2001"	510	4425687	11.5	11.7
	"Colorado"	"08"	"2002"	"2002"	517	4490406	11.5	11.5
	"Colorado"	"08"	"2003"	"2003"	501	4528732	11.1	11.2
	"Colorado"	"08"	"2004"	"2004"	553	4575013	12.1	12.0
	"Colorado"	"08"	"2005"	"2005"	535	4631888	11.6	11.6
	"Colorado"	"08"	"2006"	"2006"	497	4720423	10.5	10.4
	"Colorado"	"08"	"2007"	"2007"	505	4803868	10.5	10.4
	"Colorado"	"08"	"2008"	"2008"	513	4889730	10.5	10.4
	"Colorado"	"08"	"2009"	"2009"	583	4972195	11.7	11.6
	"Colorado"	"08"	"2010"	"2010"	555	5029196	11.0	10.8
	"Colorado"	"08"	"2011"	"2011"	573	5116796	11.2	10.9
	"Colorado"	"08"	"2012"	"2012"	672	5187582	13.0	12.6
	"Colorado"	"08"	"2013"	"2013"	619	5268367	11.7	11.5
	"Colorado"	"08"	"2014"	"2014"	663	5355866	12.4	12.2
	"Colorado"	"08"	"2015"	"2015"	701	5456574	12.8	12.6
	"Colorado"	"08"	"2016"	"2016"	812	5540545	14.7	14.3
	"Colorado"	"08"	"2017"	"2017"	779	5607154	13.9	13.4
	"Colorado"	"08"	"2018"	"2018"	889	5695564	15.6	15.2
	"Colorado"	"08"	"2019"	"2019"	846	5758736	14.7	14.2
	"Colorado"	"08"	"2020 "	"2020"	922	5807719	15.9	15.4
"Total"	"Colorado"	"08"			13640	110389320	12.4	12.2
	"Connecticut"	"09"	"1999"	"1999"	199	3386401	5.9	5.9
	"Connecticut"	"09"	"2000"	"2000"	179	3405565	5.3	5.3
	"Connecticut"	"09"	"2001"	"2001"	191	3432835	5.6	5.6
	"Connecticut"	"09"	"2002"	"2002"	147	3458749	4.3	4.3
	"Connecticut"	"09"	"2003"	"2003"	153	3484336	4.4	4.4
	"Connecticut"	"09"	"2004"	"2004"	173	3496094	4.9	4.9
	"Connecticut"	"09"	"2005"	"2005"	187	3506956	5.3	5.3
	"Connecticut"	"09"	"2006"	"2006"	173	3517460	4.9	5.0
	"Connecticut"	"09"	"2007"	"2007"	149	3527270	4.2	4.1
	"Connecticut"	"09"	"2008"	"2008"	200	3545579	5.6	5.6
	"Connecticut"	"09"	"2009"	"2009"	173	3561807	4.9	4.9
	"Connecticut"	"09"	"2010"	"2010"	209	3574097	5.8	5.9
	"Connecticut"	"09"	"2011"	"2011"	210	3580709	5.9	5.8
	"Connecticut"	"09"	"2012"	"2012"	227	3590347	6.3	6.4
	"Connecticut"	"09"	"2013"	"2013"	161	3596080	4.5	4.4
	"Connecticut"	"09"	"2014"	"2014"	187	3596677	5.2	5.0
	"Connecticut"	"09"	"2015"	"2015"	189	3590886	5.3	5.3
	"Connecticut"	"09"	"2016"	"2016"	172	3576452	4.8	4.6
	"Connecticut"	"09"	"2017"	"2017"	188	3588184	5.2	5.1
	"Connecticut"	"09"	"2018"	"2018"	186	3572665	5.2	4.9
	"Connecticut"	"09"	"2019"	"2019"	190	3565287	5.3	5.3
	"Connecticut"	"09"	"2020 "	"2020"	219	3557006	6.2	6.0
"Total"	"Connecticut"	"09"			4062	77711442	5.2	5.2
	"Delaware"	"10"	"1999"	"1999"	68	774990	8.8	8.7
	"Delaware"	"10"	"2000"	"2000"	52	783600	6.6	6.6
	"Delaware"	"10"	"2001"	"2001"	76	795699	9.6	9.5
	"Delaware"	"10"	"2002"	"2002"	74	806169	9.2	9.1
	"Delaware"	"10"	"2003"	"2003"	65	818003	7.9	7.9
	"Delaware"	"10"	"2004"	"2004"	75	830803	9.0	8.8
	"Delaware"	"10"	"2005"	"2005"	75	845150	8.9	8.8
	"Delaware"	"10"	"2006"	"2006"	79	859268	9.2	9.1
	"Delaware"	"10"	"2007"	"2007"	79	871749	9.1	8.9
	"Delaware"	"10"	"2008"	"2008"	95	883874	10.7	10.7
	"Delaware"	"10"	"2009"	"2009"	76	891730	8.5	8.8
	"Delaware"	"10"	"2010"	"2010"	88	897934	9.8	9.9
	"Delaware"	"10"	"2011"	"2011"	77	907135	8.5	8.2
	"Delaware"	"10"	"2012"	"2012"	96	917092	10.5	10.5
	"Delaware"	"10"	"2013"	"2013"	100	925749	10.8	10.3
	"Delaware"	"10"	"2014"	"2014"	102	935614	10.9	11.1
	"Delaware"	"10"	"2015"	"2015"	112	945934	11.8	12.1
	"Delaware"	"10"	"2016"	"2016"	111	952065	11.7	11.0
	"Delaware"	"10"	"2017"	"2017"	111	961939	11.5	11.7
	"Delaware"	"10"	"2018"	"2018"	107	967171	11.1	11.6
	"Delaware"	"10"	"2019"	"2019"	93	973764	9.6	9.9
	"Delaware"	"10"	"2020 "	"2020"	135	986809	13.7	14.4
"Total"	"Delaware"	"10"			1946	19532241	10.0	10.0
	"District of Columbia"	"11"	"1999"	"1999"	163	570213	28.6	25.5
	"District of Columbia"	"11"	"2000"	"2000"	149	572059	26.0	22.8
	"District of Columbia"	"11"	"2001"	"2001"	169	574504	29.4	26.0
	"District of Columbia"	"11"	"2002"	"2002"	195	573158	34.0	30.3
	"District of Columbia"	"11"	"2003"	"2003"	167	568502	29.4	26.0
	"District of Columbia"	"11"	"2004"	"2004"	143	567754	25.2	22.4
	"District of Columbia"	"11"	"2005"	"2005"	154	567136	27.2	23.8
	"District of Columbia"	"11"	"2006"	"2006"	134	570681	23.5	20.4
	"District of Columbia"	"11"	"2007"	"2007"	144	574404	25.1	21.6
	"District of Columbia"	"11"	"2008"	"2008"	137	580236	23.6	20.1
	"District of Columbia"	"11"	"2009"	"2009"	111	592228	18.7	15.9
	"District of Columbia"	"11"	"2010"	"2010"	99	601723	16.5	14.2
	"District of Columbia"	"11"	"2011"	"2011"	86	617996	13.9	11.8
	"District of Columbia"	"11"	"2012"	"2012"	68	632323	10.8	9.4
	"District of Columbia"	"11"	"2013"	"2013"	71	646449	11.0	8.9
	"District of Columbia"	"11"	"2014"	"2014"	86	658893	13.1	11.7
	"District of Columbia"	"11"	"2015"	"2015"	120	672228	17.9	15.2
	"District of Columbia"	"11"	"2016"	"2016"	107	681170	15.7	13.8
	"District of Columbia"	"11"	"2017"	"2017"	100	693972	14.4	13.1
	"District of Columbia"	"11"	"2018"	"2018"	125	702455	17.8	16.7
	"District of Columbia"	"11"	"2019"	"2019"	141	705749	20.0	18.3
	"District of Columbia"	"11"	"2020 "	"2020"	167	712816	23.4	21.9
"Total"	"District of Columbia"	"11"			2836	13636649	20.8	18.3
	"Florida"	"12"	"1999"	"1999"	1721	15759421	10.9	10.7
	"Florida"	"12"	"2000"	"2000"	1692	15982378	10.6	10.2
	"Florida"	"12"	"2001"	"2001"	1816	16356966	11.1	10.7
	"Florida"	"12"	"2002"	"2002"	1886	16689370	11.3	11.0
	"Florida"	"12"	"2003"	"2003"	1940	17004085	11.4	11.1
	"Florida"	"12"	"2004"	"2004"	1890	17415318	10.9	10.5
	"Florida"	"12"	"2005"	"2005"	1838	17842038	10.3	10.0
	"Florida"	"12"	"2006"	"2006"	2083	18166990	11.5	11.1
	"Florida"	"12"	"2007"	"2007"	2272	18367842	12.4	12.1
	"Florida"	"12"	"2008"	"2008"	2334	18527305	12.6	12.2
	"Florida"	"12"	"2009"	"2009"	2324	18652644	12.5	12.0
	"Florida"	"12"	"2010"	"2010"	2268	18801310	12.1	11.5
	"Florida"	"12"	"2011"	"2011"	2378	19057542	12.5	12.0
	"Florida"	"12"	"2012"	"2012"	2473	19317568	12.8	12.2
	"Florida"	"12"	"2013"	"2013"	2442	19552860	12.5	11.9
	"Florida"	"12"	"2014"	"2014"	2410	19893297	12.1	11.5
	"Florida"	"12"	"2015"	"2015"	2559	20271272	12.6	12.0
	"Florida"	"12"	"2016"	"2016"	2704	20612439	13.1	12.6
	"Florida"	"12"	"2017"	"2017"	2724	20984400	13.0	12.4
	"Florida"	"12"	"2018"	"2018"	2902	21299325	13.6	12.9
	"Florida"	"12"	"2019"	"2019"	2872	21477737	13.4	12.7
	"Florida"	"12"	"2020 "	"2020"	3041	21733312	14.0	13.7
"Total"	"Florida"	"12"			50569	413765419	12.2	11.8
	"Georgia"	"13"	"1999"	"1999"	1105	8045965	13.7	13.7
	"Georgia"	"13"	"2000"	"2000"	1096	8186453	13.4	13.4
	"Georgia"	"13"	"2001"	"2001"	1124	8377038	13.4	13.5
	"Georgia"	"13"	"2002"	"2002"	1133	8508256	13.3	13.4
	"Georgia"	"13"	"2003"	"2003"	1173	8622793	13.6	13.8
	"Georgia"	"13"	"2004"	"2004"	1062	8769252	12.1	12.2
	"Georgia"	"13"	"2005"	"2005"	1064	8925922	11.9	12.1
	"Georgia"	"13"	"2006"	"2006"	1144	9155813	12.5	12.6
	"Georgia"	"13"	"2007"	"2007"	1244	9349988	13.3	13.5
	"Georgia"	"13"	"2008"	"2008"	1177	9504843	12.4	12.5
	"Georgia"	"13"	"2009"	"2009"	1247	9620846	13.0	13.1
	"Georgia"	"13"	"2010"	"2010"	1223	9687653	12.6	12.6
	"Georgia"	"13"	"2011"	"2011"	1232	9815210	12.6	12.6
	"Georgia"	"13"	"2012"	"2012"	1286	9919945	13.0	12.8
	"Georgia"	"13"	"2013"	"2013"	1262	9992167	12.6	12.6
	"Georgia"	"13"	"2014"	"2014"	1391	10097343	13.8	13.7
	"Georgia"	"13"	"2015"	"2015"	1448	10214860	14.2	14.1
	"Georgia"	"13"	"2016"	"2016"	1571	10310371	15.2	15.0
	"Georgia"	"13"	"2017"	"2017"	1623	10429379	15.6	15.4
	"Georgia"	"13"	"2018"	"2018"	1680	10519475	16.0	15.7
	"Georgia"	"13"	"2019"	"2019"	1695	10617423	16.0	15.8
	"Georgia"	"13"	"2020 "	"2020"	1897	10710017	17.7	17.7
"Total"	"Georgia"	"13"			28877	209381012	13.8	13.7
	"Hawaii"	"15"	"1999"	"1999"	42	1210300	3.5	3.4
	"Hawaii"	"15"	"2000"	"2000"	52	1211537	4.3	4.2
	"Hawaii"	"15"	"2001"	"2001"	47	1225948	3.8	3.7
	"Hawaii"	"15"	"2002"	"2002"	36	1239613	2.9	2.8
	"Hawaii"	"15"	"2003"	"2003"	37	1251154	3.0	2.9
	"Hawaii"	"15"	"2004"	"2004"	41	1273569	3.2	3.1
	"Hawaii"	"15"	"2005"	"2005"	28	1292729	2.2	2.1
	"Hawaii"	"15"	"2006"	"2006"	33	1309731	2.5	2.4
	"Hawaii"	"15"	"2007"	"2007"	36	1315675	2.7	2.5
	"Hawaii"	"15"	"2008"	"2008"	41	1332213	3.1	3.0
	"Hawaii"	"15"	"2009"	"2009"	47	1346717	3.5	3.4
	"Hawaii"	"15"	"2010"	"2010"	45	1360301	3.3	3.2
	"Hawaii"	"15"	"2011"	"2011"	49	1374810	3.6	3.5
	"Hawaii"	"15"	"2012"	"2012"	51	1392313	3.7	3.4
	"Hawaii"	"15"	"2013"	"2013"	38	1404054	2.7	2.6
	"Hawaii"	"15"	"2014"	"2014"	40	1419561	2.8	2.6
	"Hawaii"	"15"	"2015"	"2015"	55	1431603	3.8	3.6
	"Hawaii"	"15"	"2016"	"2016"	66	1428557	4.6	4.5
	"Hawaii"	"15"	"2017"	"2017"	39	1427538	2.7	2.5
	"Hawaii"	"15"	"2018"	"2018"	59	1420491	4.2	4.0
	"Hawaii"	"15"	"2019"	"2019"	62	1415872	4.4	4.4
	"Hawaii"	"15"	"2020 "	"2020"	50	1407006	3.6	3.4
"Total"	"Hawaii"	"15"			994	29491292	3.4	3.3
	"Idaho"	"16"	"1999"	"1999"	151	1275674	11.8	12.2
	"Idaho"	"16"	"2000"	"2000"	127	1293953	9.8	10.2
	"Idaho"	"16"	"2001"	"2001"	175	1319962	13.3	13.5
	"Idaho"	"16"	"2002"	"2002"	163	1340372	12.2	12.4
	"Idaho"	"16"	"2003"	"2003"	164	1363380	12.0	12.4
	"Idaho"	"16"	"2004"	"2004"	177	1391802	12.7	13.0
	"Idaho"	"16"	"2005"	"2005"	195	1428241	13.7	14.1
	"Idaho"	"16"	"2006"	"2006"	180	1468669	12.3	12.7
	"Idaho"	"16"	"2007"	"2007"	187	1505105	12.4	12.7
	"Idaho"	"16"	"2008"	"2008"	175	1534320	11.4	11.5
	"Idaho"	"16"	"2009"	"2009"	196	1554439	12.6	12.8
	"Idaho"	"16"	"2010"	"2010"	198	1567582	12.6	12.8
	"Idaho"	"16"	"2011"	"2011"	192	1584985	12.1	12.3
	"Idaho"	"16"	"2012"	"2012"	207	1595728	13.0	13.0
	"Idaho"	"16"	"2013"	"2013"	227	1612136	14.1	14.1
	"Idaho"	"16"	"2014"	"2014"	213	1634464	13.0	13.2
	"Idaho"	"16"	"2015"	"2015"	247	1654930	14.9	14.7
	"Idaho"	"16"	"2016"	"2016"	242	1683140	14.4	14.6
	"Idaho"	"16"	"2017"	"2017"	280	1716943	16.3	16.4
	"Idaho"	"16"	"2018"	"2018"	294	1754208	16.8	16.6
	"Idaho"	"16"	"2019"	"2019"	255	1787065	14.3	14.2
	"Idaho"	"16"	"2020 "	"2020"	321	1826913	17.6	17.6
"Total"	"Idaho"	"16"			4566	33894011	13.5	13.6
	"Illinois"	"17"	"1999"	"1999"	1209	12359020	9.8	9.7
	"Illinois"	"17"	"2000"	"2000"	1130	12419293	9.1	9.0
	"Illinois"	"17"	"2001"	"2001"	1289	12488445	10.3	10.2
	"Illinois"	"17"	"2002"	"2002"	1231	12525556	9.8	9.7
	"Illinois"	"17"	"2003"	"2003"	1146	12556006	9.1	9.0
	"Illinois"	"17"	"2004"	"2004"	994	12589773	7.9	7.8
	"Illinois"	"17"	"2005"	"2005"	1019	12609903	8.1	8.0
	"Illinois"	"17"	"2006"	"2006"	1036	12643955	8.2	8.1
	"Illinois"	"17"	"2007"	"2007"	1032	12695866	8.1	8.1
	"Illinois"	"17"	"2008"	"2008"	1105	12747038	8.7	8.6
	"Illinois"	"17"	"2009"	"2009"	1058	12796778	8.3	8.2
	"Illinois"	"17"	"2010"	"2010"	1064	12830632	8.3	8.2
	"Illinois"	"17"	"2011"	"2011"	1114	12869257	8.7	8.6
	"Illinois"	"17"	"2012"	"2012"	1178	12875255	9.1	9.1
	"Illinois"	"17"	"2013"	"2013"	1117	12882135	8.7	8.6
	"Illinois"	"17"	"2014"	"2014"	1179	12880580	9.2	9.0
	"Illinois"	"17"	"2015"	"2015"	1220	12859995	9.5	9.5
	"Illinois"	"17"	"2016"	"2016"	1490	12801539	11.6	11.7
	"Illinois"	"17"	"2017"	"2017"	1543	12802023	12.1	12.1
	"Illinois"	"17"	"2018"	"2018"	1382	12741080	10.8	10.9
	"Illinois"	"17"	"2019"	"2019"	1367	12671821	10.8	10.8
	"Illinois"	"17"	"2020 "	"2020"	1745	12587530	13.9	14.1
"Total"	"Illinois"	"17"			26648	279233480	9.5	9.5
	"Indiana"	"18"	"1999"	"1999"	680	6044969	11.2	11.2
	"Indiana"	"18"	"2000"	"2000"	666	6080485	11.0	10.9
	"Indiana"	"18"	"2001"	"2001"	729	6127760	11.9	11.9
	"Indiana"	"18"	"2002"	"2002"	723	6155967	11.7	11.7
	"Indiana"	"18"	"2003"	"2003"	696	6196638	11.2	11.2
	"Indiana"	"18"	"2004"	"2004"	639	6233007	10.3	10.3
	"Indiana"	"18"	"2005"	"2005"	705	6278616	11.2	11.2
	"Indiana"	"18"	"2006"	"2006"	742	6332669	11.7	11.6
	"Indiana"	"18"	"2007"	"2007"	670	6379599	10.5	10.5
	"Indiana"	"18"	"2008"	"2008"	723	6424806	11.3	11.2
	"Indiana"	"18"	"2009"	"2009"	735	6459325	11.4	11.3
	"Indiana"	"18"	"2010"	"2010"	709	6483802	10.9	10.8
	"Indiana"	"18"	"2011"	"2011"	638	6516922	9.8	9.7
	"Indiana"	"18"	"2012"	"2012"	800	6537334	12.2	12.2
	"Indiana"	"18"	"2013"	"2013"	857	6570902	13.0	13.0
	"Indiana"	"18"	"2014"	"2014"	818	6596855	12.4	12.4
	"Indiana"	"18"	"2015"	"2015"	846	6619680	12.8	12.7
	"Indiana"	"18"	"2016"	"2016"	997	6633053	15.0	15.0
	"Indiana"	"18"	"2017"	"2017"	1016	6666818	15.2	15.3
	"Indiana"	"18"	"2018"	"2018"	977	6691878	14.6	14.7
	"Indiana"	"18"	"2019"	"2019"	958	6732219	14.2	14.1
	"Indiana"	"18"	"2020 "	"2020"	1159	6754953	17.2	17.3
"Total"	"Indiana"	"18"			17483	141518257	12.4	12.3
	"Iowa"	"19"	"1999"	"1999"	202	2917634	6.9	6.8
	"Iowa"	"19"	"2000"	"2000"	190	2926324	6.5	6.4
	"Iowa"	"19"	"2001"	"2001"	191	2931997	6.5	6.4
	"Iowa"	"19"	"2002"	"2002"	201	2934234	6.9	6.8
	"Iowa"	"19"	"2003"	"2003"	208	2941999	7.1	7.0
	"Iowa"	"19"	"2004"	"2004"	195	2953635	6.6	6.4
	"Iowa"	"19"	"2005"	"2005"	201	2964454	6.8	6.7
	"Iowa"	"19"	"2006"	"2006"	193	2982644	6.5	6.3
	"Iowa"	"19"	"2007"	"2007"	157	2999212	5.2	5.0
	"Iowa"	"19"	"2008"	"2008"	224	3016734	7.4	7.3
	"Iowa"	"19"	"2009"	"2009"	193	3032870	6.4	6.2
	"Iowa"	"19"	"2010"	"2010"	213	3046355	7.0	6.8
	"Iowa"	"19"	"2011"	"2011"	220	3062309	7.2	7.1
	"Iowa"	"19"	"2012"	"2012"	217	3074186	7.1	7.0
	"Iowa"	"19"	"2013"	"2013"	253	3090416	8.2	8.0
	"Iowa"	"19"	"2014"	"2014"	241	3107126	7.8	7.5
	"Iowa"	"19"	"2015"	"2015"	247	3123899	7.9	7.8
	"Iowa"	"19"	"2016"	"2016"	288	3134693	9.2	9.2
	"Iowa"	"19"	"2017"	"2017"	293	3145711	9.3	9.0
	"Iowa"	"19"	"2018"	"2018"	282	3156145	8.9	8.7
	"Iowa"	"19"	"2019"	"2019"	294	3155070	9.3	9.1
	"Iowa"	"19"	"2020 "	"2020"	351	3163561	11.1	11.2
"Total"	"Iowa"	"19"			5054	66861208	7.6	7.4
	"Kansas"	"20"	"1999"	"1999"	269	2678338	10.0	10.0
	"Kansas"	"20"	"2000"	"2000"	299	2688418	11.1	11.2
	"Kansas"	"20"	"2001"	"2001"	267	2702162	9.9	9.9
	"Kansas"	"20"	"2002"	"2002"	268	2713535	9.9	9.8
	"Kansas"	"20"	"2003"	"2003"	304	2723004	11.2	11.1
	"Kansas"	"20"	"2004"	"2004"	294	2734373	10.8	10.8
	"Kansas"	"20"	"2005"	"2005"	257	2745299	9.4	9.3
	"Kansas"	"20"	"2006"	"2006"	299	2762931	10.8	10.9
	"Kansas"	"20"	"2007"	"2007"	292	2783785	10.5	10.4
	"Kansas"	"20"	"2008"	"2008"	277	2808076	9.9	9.7
	"Kansas"	"20"	"2009"	"2009"	303	2832704	10.7	10.8
	"Kansas"	"20"	"2010"	"2010"	300	2853118	10.5	10.5
	"Kansas"	"20"	"2011"	"2011"	329	2871238	11.5	11.4
	"Kansas"	"20"	"2012"	"2012"	377	2885905	13.1	13.1
	"Kansas"	"20"	"2013"	"2013"	331	2893957	11.4	11.4
	"Kansas"	"20"	"2014"	"2014"	329	2904021	11.3	11.3
	"Kansas"	"20"	"2015"	"2015"	330	2911641	11.3	11.4
	"Kansas"	"20"	"2016"	"2016"	383	2907289	13.2	13.4
